participant,item,name,rank
26,443,Julius Erving,1
26,607,Nate Archibald,5
26,630,Oscar Robertson,2
26,736,Sidney Moncrief,11
26,805,Walt Frazier,4
27,69,Bill Russell,4
27,319,Hakeem Olajuwon,9
27,333,Isiah Thomas,10
27,443,Julius Erving,7
27,450,Kareem Abdul-Jabbar,2
27,451,Karl Malone,14
27,482,Kobe Bryant,13
27,499,Larry Bird,3
27,513,LeBron James,15
27,539,Magic Johnson,6
27,578,Michael Jordan,5
27,630,Oscar Robertson,8
27,730,Shaquille O'Neal,11
27,768,Tim Duncan,12
27,822,Wilt Chamberlain,1
28,134,Charles Barkley,21
28,156,Clyde Drexler,11
28,194,David Robinson,18
28,230,Dirk Nowitzki,19
28,319,Hakeem Olajuwon,9
28,333,Isiah Thomas,14
28,385,Jerry West,17
28,423,John Stockton,20
28,443,Julius Erving,13
28,450,Kareem Abdul-Jabbar,3
28,451,Karl Malone,12
28,469,Kevin Durant,25
28,470,Kevin Garnett,22
28,482,Kobe Bryant,4
28,499,Larry Bird,8
28,513,LeBron James,1
28,539,Magic Johnson,5
28,578,Michael Jordan,2
28,603,Moses Malone,15
28,647,Pete Maravich,16
28,723,Scottie Pippen,23
28,730,Shaquille O'Neal,7
28,747,Stephen Curry,24
28,768,Tim Duncan,10
28,822,Wilt Chamberlain,6
29,5,Adrian Dantley,13
29,156,Clyde Drexler,5
29,195,David Thompson,12
29,234,Dominique Wilkins,7
29,252,Earl Monroe,10
29,260,Elgin Baylor,1
29,264,Elvin Hayes,11
29,292,George Gervin,9
29,333,Isiah Thomas,4
29,443,Julius Erving,2
29,603,Moses Malone,3
29,607,Nate Archibald,6
29,736,Sidney Moncrief,14
29,805,Walt Frazier,8
30,333,Isiah Thomas,8
30,469,Kevin Durant,10
30,482,Kobe Bryant,3
30,499,Larry Bird,5
30,539,Magic Johnson,2
30,578,Michael Jordan,1
30,603,Moses Malone,11
30,636,Patrick Ewing,7
30,723,Scottie Pippen,9
30,730,Shaquille O'Neal,4
30,768,Tim Duncan,6
31,69,Bill Russell,6
31,319,Hakeem Olajuwon,10
31,443,Julius Erving,8
31,450,Kareem Abdul-Jabbar,5
31,499,Larry Bird,2
31,513,LeBron James,4
31,539,Magic Johnson,3
31,578,Michael Jordan,1
31,630,Oscar Robertson,7
31,822,Wilt Chamberlain,9
32,33,Andrew Toney,25
32,65,Bill Bridges,28
32,69,Bill Russell,41
32,70,Bill Sharman,1
32,78,Bob Dandridge,54
32,84,Bob McAdoo,52
32,110,Buck Williams,62
32,122,Campy Russell,21
32,136,Charles Thomas Scott,6
32,138,Chet Walker,59
32,173,Dan Roundfield,12
32,186,Dave Bing,56
32,195,David Thompson,49
32,224,Dick Barnett,13
32,232,Dolph Schayes,60
32,239,Don Ohl,37
32,252,Earl Monroe,48
32,253,Ed Macauley,19
32,260,Elgin Baylor,42
