environment,item,criterion,cue,cueValue
Bridges,Wuhu Yangtze River Bridge,32870.0,Car,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Toll,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Capital,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Guinness,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Long,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Viaduct,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Box-Girder,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Cable-Stayed,0
Bridges,Shanghai Yangtze River Bridge,32710.0,Suspension,1
Bridges,Shanghai Yangtze River Bridge,32710.0,Steel,1
Bridges,Shanghai Yangtze River Bridge,32710.0,Concrete,1
Bridges,Shanghai Yangtze River Bridge,32710.0,Rail,1
Bridges,Shanghai Yangtze River Bridge,32710.0,Car,0
Bridges,General W.K. Wilson Jr. Bridge,32106.0,Toll,0
Bridges,General W.K. Wilson Jr. Bridge,32106.0,Capital,0
Bridges,General W.K. Wilson Jr. Bridge,32106.0,Guinness,0
Bridges,General W.K. Wilson Jr. Bridge,32106.0,Long,0
Bridges,General W.K. Wilson Jr. Bridge,32106.0,Viaduct,1
