environment,item,criterion,cue,cueValue,year
United States,Chicago,2895671.0,Exposition Site,1,2000
United States,Chicago,2895671.0,National Capital,0,2000
United States,Houston,1977811.0,State Capital,0,2000
United States,Houston,1977811.0,Sport Team,1,2000
United States,Houston,1977811.0,Airport,1,2000
United States,Houston,1977811.0,Metro Station,0,2000
United States,Houston,1977811.0,Rail Station,0,2000
United States,Houston,1977811.0,Exposition Site,0,2000
United States,Houston,1977811.0,National Capital,0,2000
United States,Philadelphia,1513800.0,State Capital,0,2000
United States,Philadelphia,1513800.0,Sport Team,1,2000
United States,Philadelphia,1513800.0,Airport,1,2000
United States,Philadelphia,1513800.0,Metro Station,1,2000
United States,Philadelphia,1513800.0,Rail Station,1,2000
United States,Philadelphia,1513800.0,Exposition Site,1,2000
United States,Philadelphia,1513800.0,National Capital,0,2000
United States,Phoenix,1470302.0,State Capital,1,2000
United States,Phoenix,1470302.0,Sport Team,1,2000
United States,Phoenix,1470302.0,Airport,1,2000
United States,Phoenix,1470302.0,Metro Station,0,2000
United States,Phoenix,1470302.0,Rail Station,0,2000
United States,Phoenix,1470302.0,Exposition Site,0,2000
United States,Phoenix,1470302.0,National Capital,0,2000
United States,San Antonio,1163825.0,State Capital,0,2000
United States,San Antonio,1163825.0,Sport Team,1,2000
United States,San Antonio,1163825.0,Airport,1,2000
United States,San Antonio,1163825.0,Metro Station,0,2000
United States,San Antonio,1163825.0,Rail Station,0,2000
United States,San Antonio,1163825.0,Exposition Site,1,2000
United States,San Antonio,1163825.0,National Capital,0,2000
