participant,nBlocks,pennMatrices,listSort,cardSort
760,8,20.0,108.06,120.07
761,8,21.0,126.18,133.54
762,8,15.0,108.06,129.94
763,8,20.0,112.89,115.79
764,8,21.0,117.39,109.67
765,8,20.0,104.06,111.94
766,8,20.0,100.43,116.89
767,4,21.0,100.43,112.6
768,8,11.0,96.99,99.43
769,8,22.0,93.9,111.14
770,8,23.0,126.18,129.82
771,8,20.0,112.89,114.55
772,8,20.0,108.06,107.15
773,8,22.0,121.89,107.6
774,8,19.0,121.89,129.6
775,8,11.0,108.06,116.64
776,8,10.0,93.9,113.32
777,8,15.0,96.99,99.88
778,8,12.0,93.9,112.9
779,8,23.0,117.39,97.26
780,8,10.0,84.63,93.25
781,8,14.0,96.99,117.31
782,8,11.0,117.39,118.76
783,8,19.0,100.43,118.74
784,8,20.0,108.06,117.23
785,8,22.0,112.89,110.27
786,8,23.0,112.89,117.13
787,8,22.0,112.89,112.89
788,8,15.0,126.18,122.94
789,8,21.0,117.39,121.3
790,8,20.0,126.18,138.23
791,8,15.0,93.9,107.0
792,8,11.0,112.89,103.01
793,8,8.0,93.9,113.39
794,8,20.0,130.38,119.5
795,8,15.0,130.38,120.05
796,8,22.0,133.93,128.41
797,8,8.0,100.43,111.55
798,8,11.0,104.06,118.23
799,8,21.0,108.06,119.29
800,8,15.0,117.39,109.02
801,8,16.0,137.98,133.57
802,8,14.0,104.06,122.46
803,8,19.0,121.89,128.03
804,8,24.0,108.06,122.88
805,8,23.0,108.06,129.83
806,8,20.0,93.9,100.58
807,8,21.0,121.89,139.01
808,8,7.0,104.06,105.85
809,8,18.0,144.5,118.76
810,8,22.0,108.06,116.98
811,8,18.0,112.89,107.04
812,8,18.0,93.9,116.8
813,8,23.0,126.18,124.39
814,8,12.0,126.18,124.54
815,8,19.0,117.39,143.94
816,8,16.0,96.99,115.75
817,8,10.0,88.68,101.17
818,8,11.0,104.06,115.56
819,8,18.0,93.9,128.41
820,8,17.0,117.39,112.74
821,8,7.0,108.06,103.3
822,8,20.0,117.39,130.02
823,8,19.0,100.43,115.77
824,8,17.0,93.9,117.02
825,8,7.0,96.99,119.93
826,8,22.0,117.39,109.59
827,8,14.0,108.06,126.42
828,8,18.0,108.06,138.38
829,8,20.0,93.9,123.78
830,8,15.0,93.9,123.4
831,8,23.0,130.38,119.76
832,8,22.0,117.39,121.72
833,8,14.0,117.39,111.13
834,8,23.0,108.06,118.76
835,8,17.0,130.38,109.37
836,8,21.0,121.89,113.13
837,8,,117.39,109.85
838,8,10.0,91.07,107.51
839,8,17.0,108.06,114.38
840,8,23.0,126.18,115.85
841,8,15.0,108.06,110.82
842,8,20.0,117.39,100.89
843,8,12.0,117.39,113.2
844,8,12.0,104.06,114.95
845,8,15.0,112.89,107.79
846,8,19.0,121.89,133.93
847,8,22.0,126.18,116.94
848,8,9.0,96.99,129.77
849,8,21.0,112.89,105.43
850,8,19.0,130.38,118.13
851,8,18.0,126.18,117.58
852,8,24.0,112.89,139.01
853,8,22.0,121.89,111.29
854,8,21.0,112.89,106.54
855,8,10.0,100.43,96.74
856,8,21.0,117.39,103.9
857,8,23.0,126.18,114.09
858,8,20.0,121.89,106.48
859,8,20.0,100.43,112.44
860,8,8.0,117.39,115.09
861,8,12.0,108.06,108.82
862,8,20.0,112.89,121.28
863,8,8.0,100.43,126.04
864,8,21.0,121.89,122.09
865,8,21.0,108.06,113.15
866,8,22.0,96.99,108.28
867,8,13.0,121.89,99.99
868,8,19.0,121.89,111.14
