participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
2,37,-1,6,12,2.994999999999999,1
2,38,1,10,15,1.0519999999999996,1
2,39,1,1,11,4.546999999999999,1
2,40,-1,16,3,7.721,-1
2,41,-1,10,5,2.2330000000000005,-1
2,42,-1,16,12,7.100000000000001,1
2,43,1,13,15,2.1129999999999995,1
2,44,1,7,14,1.0020000000000024,1
2,45,1,7,8,3.815000000000005,1
2,46,-1,6,2,4.216000000000001,-1
2,47,-1,10,9,3.916000000000004,-1
2,48,1,8,6,1.7929999999999993,-1
2,49,-1,16,8,0.7909999999999995,-1
2,50,-1,5,16,1.7730000000000006,1
2,51,1,11,9,4.316000000000001,-1
2,52,1,5,14,2.373000000000001,1
2,53,1,3,10,8.923000000000002,1
2,54,1,2,4,1.3919999999999997,1
2,55,-1,7,13,2.594000000000001,1
2,56,-1,3,13,0.7510000000000048,1
2,57,-1,3,11,0.5210000000000008,1
2,58,-1,7,6,0.4110000000000013,-1
2,59,1,7,5,4.937000000000005,1
2,60,-1,9,8,3.4750000000000014,1
2,61,1,1,5,1.0319999999999965,1
2,62,1,2,11,0.6510000000000034,1
2,63,1,8,3,1.061,-1
2,64,-1,4,1,5.367,1
2,65,-1,4,6,7.380999999999999,-1
2,66,1,12,3,2.404,-1
2,67,1,12,5,2.684000000000001,-1
2,68,1,2,14,2.613999999999997,1
2,69,1,3,14,4.377000000000002,1
2,70,1,10,16,5.817999999999998,1
2,71,1,11,8,2.2929999999999997,1
2,72,1,16,14,0.8320000000000007,1
2,73,1,6,3,4.475999999999999,1
2,74,1,6,10,2.0730000000000004,1
2,75,1,3,1,12.607999999999995,1
2,76,1,9,14,2.194,1
2,77,1,7,12,4.716000000000001,1
2,78,-1,8,14,2.774000000000001,1
2,79,-1,8,4,39.928,-1
2,80,1,8,15,6.909999999999997,1
2,81,1,2,8,7.441000000000001,1
2,82,-1,7,16,2.773999999999999,1
2,83,-1,11,7,7.830999999999999,-1
2,84,1,15,5,1.0919999999999987,-1
2,85,1,15,9,2.4529999999999994,-1
2,86,1,14,11,6.680000000000003,-1
2,87,1,7,9,1.2420000000000044,1
2,88,1,9,16,4.256,1
2,89,1,2,15,0.7010000000000005,1
2,90,1,3,7,1.281000000000006,1
2,91,1,10,14,0.6709999999999994,1
2,92,1,2,16,0.820999999999998,1
2,93,-1,12,4,1.2420000000000044,-1
2,94,-1,6,15,1.5319999999999965,1
2,95,-1,3,4,0.7710000000000008,-1
2,96,1,1,9,0.9310000000000044,1
2,97,-1,3,5,2.753999999999998,1
2,98,-1,2,12,0.981,1
2,99,-1,11,4,0.992,-1
2,100,-1,13,10,0.891,-1
2,101,1,1,7,1.412,1
2,102,-1,9,4,2.343000000000001,-1
2,103,-1,14,6,1.9529999999999996,-1
2,104,-1,2,3,1.872,1
2,105,-1,15,4,1.4420000000000002,-1
2,106,1,7,10,3.094999999999999,1
2,107,-1,15,1,1.2109999999999983,-1
2,108,1,1,13,2.0630000000000024,1
2,109,1,13,4,1.0309999999999988,-1
2,110,-1,13,12,1.4520000000000015,1
2,111,-1,15,3,0.6410000000000018,-1
2,112,1,1,12,1.5120000000000005,1
2,113,1,2,10,0.9409999999999954,1
2,114,-1,9,12,2.0330000000000013,1
2,115,1,6,11,2.853999999999999,1
2,116,1,1,16,2.573999999999998,1
2,117,-1,14,1,1.4720000000000013,-1
2,118,1,2,9,1.431999999999995,1
2,119,1,16,11,1.5930000000000035,-1
3,1,1,4,14,7.792000000000002,1
3,2,1,2,7,6.139000000000003,1
3,3,-1,5,11,2.9750000000000014,1
3,4,-1,13,9,9.192999999999998,-1
3,5,1,12,10,0.4709999999999965,-1
3,6,-1,1,6,8.472999999999999,-1
3,7,1,2,5,7.881,1
3,8,-1,10,1,4.296000000000001,-1
3,9,-1,1,8,2.904,1
3,10,-1,8,10,4.126000000000001,1
3,11,1,4,7,13.389,1
3,12,-1,5,4,0.8509999999999991,-1
3,13,-1,16,15,1.6920000000000002,1
3,14,-1,10,4,2.233000000000004,-1
3,15,-1,15,12,4.246000000000002,-1
3,16,1,14,15,8.452000000000005,1
3,17,-1,13,11,6.68,-1
3,18,-1,9,5,5.798,-1
3,19,-1,6,16,8.982999999999999,1
3,20,-1,12,14,12.438,-1
3,21,1,12,8,5.717999999999996,-1
3,22,-1,1,2,22.582,-1
3,23,-1,11,15,17.675,1
3,24,1,7,15,1.8629999999999995,1
3,25,1,2,13,12.058,1
3,26,1,11,10,13.348999999999997,1
3,27,1,6,13,11.767,1
3,28,1,13,8,10.805,-1
3,29,1,13,16,4.817000000000004,1
3,30,-1,12,11,11.847,-1
3,31,-1,6,9,10.674999999999995,1
3,32,-1,16,4,5.298000000000002,-1
3,33,-1,13,14,9.363,1
3,34,1,5,13,16.193,1
3,35,1,3,9,4.256,1
3,36,1,5,8,3.575000000000003,1
3,37,1,6,12,7.219999999999999,1
3,38,1,10,15,8.633000000000003,1
