participant,trial,reportIndex,report
3,51,1,Metacognitive
3,51,2,Metacognitive
3,52,1,Metacognitive
3,52,2,Metacognitive
3,53,1,Metacognitive
3,54,1,Metacognitive
3,55,1,Metacognitive
3,56,1,Metacognitive
3,57,1,Metacognitive
3,57,2,Metacognitive
3,58,1,Metacognitive
3,59,1,Silent
3,60,1,Metacognitive
3,61,1,Metacognitive
3,62,1,Metacognitive
3,63,1,Metacognitive
3,64,1,Silent
3,65,1,Metacognitive
3,66,1,Metacognitive
3,67,1,Metacognitive
3,68,1,Metacognitive
3,69,1,Silent
3,70,1,Evaluation
3,71,1,Metacognitive
3,72,1,Metacognitive
3,73,1,Silent
3,74,1,Silent
3,75,1,Evaluation
3,75,2,Metacognitive
3,76,1,Metacognitive
3,77,1,Silent
3,78,1,Metacognitive
3,79,1,Silent
3,80,1,Metacognitive
3,81,1,Metacognitive
3,82,1,Silent
3,83,1,Silent
3,84,1,Silent
3,85,1,Metacognitive
3,86,1,Metacognitive
3,87,1,Metacognitive
3,88,1,Metacognitive
3,88,2,Metacognitive
3,88,3,Metacognitive
3,89,1,Metacognitive
