participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
1,52,2,3,1,3,6,17.698999999999955
1,52,2,4,1,2,4,11.49899999999991
1,53,1,1,0,1,1,2.288000000000011
1,53,1,3,1,3,5,14.44900000000007
1,53,1,4,0,2,3,7.79200000000003
1,53,2,1,0,1,2,4.7840000000001055
1,53,2,3,0,3,6,15.912000000000035
1,53,2,4,0,2,4,9.760000000000105
1,54,1,1,0,1,1,2.4710000000000036
1,54,1,3,1,3,5,13.649999999999977
1,54,1,4,1,2,3,8.31899999999996
1,54,2,1,0,1,2,4.198999999999955
1,54,2,3,0,3,6,15.11099999999999
1,54,2,4,0,2,4,10.726999999999975
1,55,1,1,1,1,1,2.8579999999999472
1,55,2,1,0,1,2,4.586000000000013
1,56,1,1,1,1,1,4.7169999999999845
1,56,2,1,0,1,2,6.397000000000048
1,57,1,1,0,1,1,3.6310000000000855
1,57,1,4,0,2,3,14.894999999999982
1,57,2,1,0,1,2,5.3670000000000755
1,57,2,4,0,2,4,16.526000000000067
1,58,1,1,0,1,1,2.5450000000000728
1,58,2,1,1,1,2,4.002999999999929
1,59,1,1,0,1,1,2.7950000000000728
1,59,1,4,0,2,4,10.499000000000024
1,59,2,1,0,1,2,5.035000000000082
1,59,2,4,0,2,3,8.851000000000113
1,60,1,1,1,1,1,3.3179999999999836
1,60,1,4,0,2,3,9.653999999999996
1,60,2,1,1,1,2,5.229000000000042
1,60,2,4,0,2,4,11.156999999999925
1,61,1,1,1,1,1,5.54300000000012
1,61,1,4,0,2,3,10.831000000000131
1,61,2,1,0,1,2,7.182000000000016
1,61,2,4,1,2,4,12.129000000000133
1,62,1,1,1,1,1,2.6639999999999873
1,62,1,4,0,2,3,7.1440000000000055
1,62,2,1,1,1,2,4.680000000000064
1,62,2,4,1,2,4,8.720000000000027
1,63,1,1,0,1,1,2.519999999999982
1,63,1,3,1,3,5,12.281999999999925
1,63,1,4,0,2,3,8.33199999999988
1,63,2,1,0,1,2,3.9670000000000982
1,63,2,3,0,3,6,13.70399999999995
1,63,2,4,0,2,4,9.680000000000064
1,64,1,1,1,1,1,2.369999999999891
1,64,1,4,1,2,4,7.642000000000053
1,64,2,1,1,1,2,3.7619999999999436
1,64,2,4,1,2,3,6.369999999999891
1,65,1,1,1,1,1,4.788000000000011
1,65,1,3,1,3,5,17.163999999999987
1,65,1,4,0,2,3,9.348999999999933
1,65,2,1,1,1,2,5.968999999999824
1,65,2,3,1,3,6,19.29099999999994
1,65,2,4,1,2,4,10.788000000000011
1,66,1,1,0,1,1,4.02800000000002
1,66,1,2,1,4,7,22.21900000000005
1,66,1,3,0,3,5,14.108000000000175
1,66,1,4,0,2,3,10.323000000000093
1,66,2,1,0,1,2,5.6440000000000055
1,66,2,2,1,4,8,24.33100000000013
1,66,2,3,0,3,6,16.25999999999999
1,66,2,4,1,2,4,11.708000000000084
1,67,1,1,0,1,1,4.476000000000113
1,67,1,4,0,2,3,13.939000000000078
1,67,2,1,0,1,2,6.107000000000198
1,67,2,4,1,2,4,15.371000000000095
1,68,1,1,0,1,1,17.92100000000005
1,68,1,4,1,2,3,25.480000000000018
1,68,2,1,0,1,2,19.607999999999947
1,68,2,4,1,2,4,26.991999999999962
